Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Mekbuda,ζ Geminorum Aa,https://en.wikipedia.org/wiki/Mekbuda,Gemini,07h 04m 06.53079s,+20° 34′ 13.0739″,3.93 (3.68 to 4.16),F7Ib to G3Ib,,,,,RA: –7.29 mas/yr Dec.: –0.41 mas/yr,2.78 ± 0.18 mas,"1,120 ly (368 pc)",-3.99,7.7 ± 0.3 M☉,(65.24 ± 0.20) ± 4.17 R☉,"2,900 L☉",1.9 cgs,"5,260–5,780 K",0.16 dex,70 ± 25 Myr,data,+0.55,0.88,Classical Cepheid,+6.7 km/s,19 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meleph,ε Cancri Aa,https://en.wikipedia.org/wiki/Meleph,Cancer,08h 40m 18.09670s,19° 31′ 55.1636″,7.535,F0III (kA3hA5mF0),,,,,RA: −36.251 mas/yr Dec.: −12.118 mas/yr,5.4103 ± 0.0308 mas,603 ± 3 ly (185 ± 1 pc),+0.00,2.54 M☉,2.4 R☉,43.5 L☉,4.09 cgs,"9,572 K",+0.79 dex,407 Myr,ε Cancri,+0.16,+0.17,,+29.9±1.1 km/s,56.3 km/s,,35.14101±0.00005 d,1.9127±0.0004 mas,0.4195±0.0003,81.454±0.010°,356.069±0.014°,2448314.598 ± 0.016,,ε Cnc Ab,ε Cnc Aa,56.60±0.03 km/s,,,,,,,,,,,,,,,,258.38±0.02°,61.55±0.10 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Menkalinan,β Aurigae Aa,https://en.wikipedia.org/wiki/Menkalinan,Auriga,05h 59m 31.72293s,+44° 56′ 50.7573″,1.89 - 1.98,A1m IV + A1m IV,,,,,RA: –56.44 mas/yr Dec.: –0.95 mas/yr,40.21 ± 0.23 mas,81.1 ± 0.5 ly (24.9 ± 0.1 pc),0.55/0.76,2.327 ± 0.013 M☉,2.63 R☉,47 L☉,3.93 cgs,"9,200 K",,570 Myr,data,+0.05,+0.03,Algol variable,–18.2 km/s,34 km/s,,3.96004 days,,0.0,76.0 ± 0.4°,,54539.0162 ± 0.0003 reduced HJD,,,,108.053 ± 0.072 km/s,–0.01,,,,,,,,,,,,,,,,110.911 ± 0.071 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Menkar,α Ceti,https://en.wikipedia.org/wiki/Menkar,Cetus,03h 02m 16.77307s,+04° 05′ 23.0596″,2.53,M1.5 IIIa,,,,,RA: −10.41±0.51 mas/yr Dec.: −76.85±0.36 mas/yr,13.09 ± 0.44 mas,249 ± 8 ly (76 ± 3 pc),−3.2±0.3,2.3±0.2 M☉,89±5 R☉,"1,455±328 L☉",0.9±0.1 cgs,"3,795±70 K",0.00±0.30 dex,,data,+1.93,+1.64,,−26.08±0.02 km/s,6.9 km/s,,,,,,,,,,,,,,AGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menkent,θ Centauri,https://en.wikipedia.org/wiki/Menkent,Centaurus,14h 06m 40.94752s,–36° 22′ 11.8371″,+2.06,K0 III,,,,,RA: –520.53 mas/yr Dec.: –518.06 mas/yr,55.45 ± 0.20 mas,58.8 ± 0.2 ly (18.03 ± 0.07 pc),0.87,1.27 M☉,10.6 R☉,60 L☉,2.75 cgs,"4,980 K",0.03 dex,,data,+0.90,+0.99,,+1.3 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menkib,ξ Persei,https://en.wikipedia.org/wiki/Menkib_(star),Perseus,03h 58m 57.90229s,+35° 47′ 27.7132″,4.04,O7.5III(n)((f)),,,,,RA: 3.62 mas/yr Dec.: 1.74 mas/yr,2.62 ± 0.51 mas,"approx. 1,200 ly (approx. 380 pc)",−5.50,26-36 M☉,14 R☉,"263,000 L☉",3.5 cgs,"35,000 K",,~7 Myr,data,−0.93,+0.02,slightly variable,65.40 km/s,220 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merak,β Ursae Majoris,https://en.wikipedia.org/wiki/Merak_(star),Ursa Major,11h 01m 50.47654s,+56° 22′ 56.7339″,+2.37,A1IVps,,,,,RA: +81.43 mas/yr Dec.: +33.49 mas/yr,40.90 ± 0.16 mas,79.7 ± 0.3 ly (24.45 ± 0.10 pc),+0.61,2.7 M☉,3.021 ± 0.038 R☉,63.015 ± 1.307 L☉,3.83 cgs,9377 ± 75 K,,500 ± 100 Myr,data,+0.00,-0.02,Suspected,-12.0 km/s,46 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merga,38 Boötis,https://en.wikipedia.org/wiki/Merga_(star),Boötes,14h 49m 18.67062s,+46° 06′ 58.3369″,5.76,F6 IVs,,,,,RA: –6.404 mas/yr Dec.: −78.073 mas/yr,20.7166 ± 0.0638 mas,157.4 ± 0.5 ly (48.3 ± 0.1 pc),2.31,1.60±0.04 M☉,2.51+0.04−0.08 R☉,9.511±0.039 L☉,3.92±0.02 cgs,"6,591±63 K",0.11±0.05 dex,1.74+0.19−0.10 Gyr,data,,0.482±0.002,,−4.5±0.2 km/s,9.8 km/s,,,,,,,,,,,,,,subgiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridiana,α Coronae Australis,https://en.wikipedia.org/wiki/Meridiana_(star),Corona Australis,19h 09m 28.34097s,–37° 54′ 16.1022″,4.102,A2V,,,,,RA: 84.87 mas/yr Dec.: −95.99 mas/yr,26.02 ± 0.25 mas,125 ± 1 ly (38.4 ± 0.4 pc),1.11,2.57 M☉,2.21 R☉,31 L☉,4.08 cgs,"9,916±337 K",,254 Myr,data,+0.06,+0.04,,−18.40±1.78 km/s,195 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merope,23 Tauri Aa,https://en.wikipedia.org/wiki/Merope_(star),Taurus,03h 46m 19.5859s,23° 56′ 54.092″,4.18,B6IV(e),,,,,RA: 13.075 mas/yr Dec.: −48.404 mas/yr,7.0670 ± 0.2862 mas,460 ± 20 ly (142 ± 6 pc),−1.29,4.25 M☉,7.7 R☉,927 L☉,3.48 cgs,"14,550 K",,212 Myr,data,−0.41,−0.06,β Cephei,6.2 km/s,240 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesarthim,γ1 Arietis A,https://en.wikipedia.org/wiki/Mesarthim,Aries,01h 53m 31.81479s,+19° 17′ 37.8790″,3.86 (4.58/4.64),A2IVpSiSrCr,,,,,RA: +79.20 mas/yr Dec.: −97.63 mas/yr,19.88 ± 0.96 mas,164 ± 8 ly (50 ± 2 pc),,0.7 M☉,1.941 R☉,41.5 L☉,4.30 cgs,"4,312 K",−0.5 dex,34 Myr,γ Ari,,−0.03,α2 CVn,+3.7 km/s,5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miaplacidus,β Carinae,https://en.wikipedia.org/wiki/Miaplacidus,Carina,09h 13m 11.97746s,−69° 43′ 01.9473″,1.69,A1III,,,,,RA: −156.47 mas/yr Dec.: +108.95 mas/yr,28.82 ± 0.11 mas,113.2 ± 0.4 ly (34.7 ± 0.1 pc),−1.03,3.5 M☉,6.8 R☉,288 L☉,3.16 cgs,"8,866 K",−0.36 dex,260 Myr,data,+0.03,+0.00,,−5.2 km/s,145.7±2.2 km/s,/ˌmaɪəˈplæsɪdəs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa,β Crucis,https://en.wikipedia.org/wiki/Mimosa_(star),Crux,12h 47m 43.26877s,−59° 41′ 19.5792″,1.25 (1.23 - 1.31),B0.5 III / B2V,,,,,RA: −42.97 mas/yr Dec.: −16.18 mas/yr,11.71 ± 0.98 mas,280 ± 20 ly (85 ± 7 pc),−3.92,10 M☉,8.4±0.6 R☉,"34,000 L☉",3.6±0.1 cgs,"27,000±1,000 K",−0.08 dex,8 to 11 Myr,data,−0.98,−0.23,β Cep,+15.6 km/s,35 km/s,/mɪˈmoʊsə/,1828.0±2.5 days,8.7 AU,0.38±0.09,,,"2,449,879±38 HJD",293±9°,β Crucis B,β Crucis A,,,,,,,,,,,,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minchir,σ Hydrae,https://en.wikipedia.org/wiki/Minchir,Hydra,08h 38m 45.43747s,+03° 20′ 29.1701″,4.48,K2 III,,,,,RA: −19.48 mas/yr Dec.: −15.92 mas/yr,8.75 ± 0.25 mas,370 ± 10 ly (114 ± 3 pc),−0.84,3.07 M☉,27.6 R☉,295 L☉,2.21±0.13 cgs,"4,491±51 K",0.13±0.06 dex,430 Myr,data,+1.23,+1.21,,27.28±0.19 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minelauva,δ Virginis,https://en.wikipedia.org/wiki/Minelauva,Virgo,12h 55m 36.20861s,+3° 23′ 50.8932″,3.32 - 3.40,M3 III,,,,,RA: −469.99 mas/yr Dec.: −52.83 mas/yr,16.44 ± 0.22 mas,198 ± 3 ly (60.8 ± 0.8 pc),2.4±0.3,1.4±0.3 M☉,48 R☉,468 L☉,1.0 cgs,"3,999 K",−0.16 dex,,data,+1.825,+1.565,Semiregular,−18.14±0.55 km/s,6.0 km/s,,,,,,,,,,,,,,AGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mintaka,δ Orionis Aa,https://en.wikipedia.org/wiki/Mintaka,Orion,05h 32m 00.406s,−00° 17′ 04.38″,6.85,B3V + A0V,,,,,RA: +1.523 mas/yr Dec.: −1.653 mas/yr,2.6245 ± 0.0538 mas,"1,240 ± 30 ly (381 ± 8 pc)",−4.2,6-11 M☉,5.7 R☉,"3,300 L☉",4.41 cgs,"18,400 K",,,data,−0.71,−0.16,Eclipsing binary,18.50±0.5 km/s,220±20 km/s,,"53,839 days","20,038 R☉",0.5886±0.016,104.7±0.4°,122.4±0.5°,"2,458,773.2±0.1",259±2°,δ Ori Ab,δ Ori Aa1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mira,ο Ceti Aa,https://en.wikipedia.org/wiki/Mira,Cetus,02h 19m 20.79210s,−02° 58′ 39.4956″,2.0 to 10.1,M7 IIIe (M5e-M9e),,,,,RA: +9.33 mas/yr Dec.: −237.36 mas/yr,10.91 ± 1.22 mas,approx. 300 ly (approx. 90 pc),+0.99 (variable),1.18 M☉,332–402 (-541) R☉,,,"2,918–3,192 K",,6 Gyr,data,+0.08,+1.53,Mira,+63.8 km/s,,,497.88 yr,0.8″,0.16,112°,138.8°,2285.75,258.3°,,,,,,,"8,400–9,360 L☉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirach,β Andromedae,https://en.wikipedia.org/wiki/Mirach,Andromeda,01h 09m 43.92388s,+35° 37′ 14.0075″,2.05 (2.01 to 2.10),M0 III,,,,,RA: 175.90 mas/yr Dec.: −112.20 mas/yr,16.52 ± 0.56 mas,197 ± 7 ly (61 ± 2 pc),−1.76,2.49 M☉,100 R☉,"1,995 L☉",1.52 cgs,"3,842 K",−0.05 dex,,data,+1.96,+1.57,Semiregular,0.06±0.13 km/s,7.2 km/s,,,,,,,,,,,,+1.00,,Asymptotic giant branch,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miram,η Persei A,https://en.wikipedia.org/wiki/Miram,Perseus,02h 50m 41.766s,+55° 53′ 43.7876″,3.79,K3 Ib,,,,,RA: +16.574 mas/yr Dec.: −12.709 mas/yr,4.2061 ± 0.3744 mas,780 ± 70 ly (240 ± 20 pc),−4.29,,134 R☉,"4,130 L☉",,"3,986±170 K",,,data,+1.90,+1.69,,−1.07 ± 0.27 km/s,5.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirfak,α Persei,https://en.wikipedia.org/wiki/Mirfak,Perseus,03h 24m 19.37009s,+49° 51′ 40.2455″,1.806,F5 Ib,,,,,RA: +23.75 mas/yr Dec.: −26.23 mas/yr,6.44 ± 0.17 mas,510 ± 10 ly (155 ± 4 pc),−5.1,8.5 ± 0.3 M☉,68 ± 3 R☉,,1.90 ± 0.04 cgs,"6,350 ± 100 K",−0.02 dex,41 Myr,data,+0.38,+0.483,,−2.04 km/s,20 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirzam,β Canis Majoris,https://en.wikipedia.org/wiki/Mirzam,Canis Major,06h 22m 41.98535s,−17° 57′ 21.3073″,1.985 (1.97 - 2.01),B1 II-III,,,,,RA: −3.23 mas/yr Dec.: −0.78 mas/yr,6.62 ± 0.22 mas,490 ± 20 ly (151 ± 5 pc),−4.1,13.5 ± 0.5 M☉,9.7 ± 1.3 R☉,26600 L☉,3.79 ± 0.20 cgs,"25,000 K",0.04 ± 0.10 dex,12.4 ± 0.7 Myr,data,−0.99,−0.235,β Cep,+33.7 km/s,31 ± 5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misam,κ Persei Aa,https://en.wikipedia.org/wiki/Misam,Perseus,03h 09m 29.77156s,+44° 51′ 27.1463″,3.80,G9.5 IIIb,,,,,RA: +172.99 mas/yr Dec.: −143.40 mas/yr,28.93 ± 0.21 mas,112.7 ± 0.8 ly (34.6 ± 0.3 pc),1.20,1.50 M☉,9 R☉,39.8 L☉,2.9 cgs,"4,857±69 K",0.04 dex,4.58 Gyr,data,+0.83,+0.98,,27.43±0.42 km/s,3.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizar,ζ Ursae Majoris Aa,https://en.wikipedia.org/wiki/Mizar,Ursa Major,13h 23m 56.330s,+54° 55′ 18.56″,3.88,kA1h(eA)mA7IV-V,,,,,RA: 119.01 mas/yr Dec.: −25.97 mas/yr,39.36 ± 0.30 mas,82.9 ± 0.6 ly (25.4 ± 0.2 pc),+0.32/+1.96,2.2381±0.0219 M☉,2.4 ± 0.1 R☉,33.3 ± 2.1 L☉,4.40 cgs,"8,425 K",,370 Myr,Mizar,+0.09,+0.13,,−6.31 km/s,61 km/s,,175.55 d,29.849 mas,0.46,60.5±0.3°,106.0±0.4°,RJD 54536.9904,105.27±0.23°,Mizar Bb,Mizar Ba,66.478±0.153 km/s,,,,,,,,,,,,,,,,,66.019±0.177 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Moldoveanu,XO-1,https://en.wikipedia.org/wiki/XO-1,Corona Borealis,16h 02m 11.8462s,+28° 10′ 10.420″,11.19 ± 0.03,G1V,,9.939 ± 0.022,9.601 ± 0.017,9.527 ± 0.015,RA: −17.349(12) mas/yr Dec.: 14.780(15) mas/yr,6.1489 ± 0.0136 mas,530 ± 1 ly (162.6 ± 0.4 pc),5.02+0.14−0.16,1.027+0.057−0.061 M☉,0.94 ± 0.02 R☉,0.86+0.12−0.10 L☉,4.50 ± 0.01 cgs,5738 ± 65 K,−0.06 ± 0.07 dex,1.0+3.1−0.9 Gyr,data,,,Planetary transit variable,,1.1 ± 1.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85 ± 0.04,,,,,,,,,,,,,,,,,,,,,,
Mönch,HD 130322,https://en.wikipedia.org/wiki/HD_130322,Virgo,14h 47m 32.7266s,−00° 16′ 53.3059″,8.05,K0V,,,,,RA: −130.798±0.106 mas/yr Dec.: −140.365±0.118 mas/yr,31.3423 ± 0.0711 mas,104.1 ± 0.2 ly (31.91 ± 0.07 pc),,0.92±0.03 M☉,0.85±0.04 R☉,,4.52±0.06 cgs,5387±44 K,,10 Gyr,The star,,,,,0.5±0.5 km/s,,,,,,,,,,,,,,,,data,,,,,,26.53±0.70 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montuno,WASP-79,https://en.wikipedia.org/wiki/WASP-79,,,,,,,,,,,,,,0.90±0.08 MJ,,,,1900±50 K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smalley et al.,June 1 2012,Transit method,,0.0535±0.0008 AU,0,3.662366±0.0000085 d,83.3±0.5°,WASP-79,2.09±0.14 RJ,,,,,,,
Morava,WASP-60,https://en.wikipedia.org/wiki/WASP-60,Pegasus,23h 46m 39.9747s,31° 09′ 21.3721″,12.18,F9,,,,,RA: 30.262 mas/yr Dec.: −5.852 mas/yr,2.2916 ± 0.0397 mas,"1,420 ± 20 ly (436 ± 8 pc)",,1.229±0.026 M☉,1.401±0.066 R☉,,4.31±0.11 cgs,6105±50 K,0.26±0.07 dex,1.7±0.5 Gyr,data,,,,-26.604 km/s,3.8±0.6 km/s,,,,,,,,,,,,,,Main sequence,,,,,,,,34.8±2.7 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moriah,HAT-P-23,https://en.wikipedia.org/wiki/HAT-P-23,Delphinus,20h 24m 29.7235s,+16° 45′ 43.8103″,11.94,G0V,,11.103±0.022,10.846±0.022,10.791±0.020,RA: 13.263±0.050 mas/yr Dec.: −5.412±0.049 mas/yr,2.7129 ± 0.0351 mas,"1,200 ± 20 ly (369 ± 5 pc)",,1.13±0.035 M☉,1.203±0.074 R☉,1.58±0.23 L☉,4.33±0.05 cgs,5905±80 K,,4.0±1.0 Gyr,data,,,Planetary transit,-14.324 km/s,8.1±0.5 km/s,,,,,,,,,,,,,0.15±0.04,,,,,,,,,7.015 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mothallah,α Trianguli,https://en.wikipedia.org/wiki/Mothallah,Triangulum,01h 53m 04.90710s,+29° 34′ 43.7801″,+3.42,F5III to F6IV + M,,,,,RA: 10.82 mas/yr Dec.: −234.24 mas/yr,51.50 ± 0.23 mas,63.3 ± 0.3 ly (19.42 ± 0.09 pc),1.98,0.11 M☉,3.22 R☉,,3.91 cgs,"6,288 K",−0.09 to 0.00 dex,1.6 Gyr,data,+0.06,+0.48,Ellipsoidal,−12.6 km/s,81.6 km/s,,1.767 days,,0.065,,,,,,,10.64 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mpingo,WASP-71,https://en.wikipedia.org/wiki/WASP-71,Cetus,01h 57m 03.2041s,00° 45′ 31.8789″,10.56,F8,,,,,RA: 23.305 mas/yr Dec.: -7.093 mas/yr,2.7289 ± 0.0517 mas,"1,200 ± 20 ly (366 ± 7 pc)",,1.53+0.07−0.06 M☉,2.17+0.18−0.10 R☉,,3.944+0.036−0.050 cgs,6050±100 K,0.15±0.07 dex,3.6+1.6−1.0 Gyr,436 data,,,,7.69 km/s,7.8±0.3 km/s,,,,,,,,,,,,,,main-sequence star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muliphein,γ Canis Majoris,https://en.wikipedia.org/wiki/Muliphein,Canis Major,07h 03m 45.49305s,−15° 37′ 59.8300″,+4.10,B8II,,,,,RA: −0.14 mas/yr Dec.: −11.36 mas/yr,7.38 ± 0.21 mas,440 ± 10 ly (136 ± 4 pc),−1.4,,5.6 R☉,715 L☉,3.5 cgs,"13,596 K",−0.24 dex,,data,−0.45,−0.13,,+32.0 km/s,30 km/s,,,,,,,,,,,,,,,,,,,,,,6.16 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid,η Boötis Aa,https://en.wikipedia.org/wiki/Muphrid,Boötes,13h 54m 41.07892s,+18° 23′ 51.7946″,2.680,G0 IV,,,,,RA: -60.95 mas/yr Dec.: -356.29 mas/yr,87.75 ± 1.24 mas,37.2 ± 0.5 ly (11.4 ± 0.2 pc),2.41,1.71 ± 0.05 M☉,2.672 ± 0.028 R☉,8.89 ± 0.16 L☉,3.817 ± 0.015 cgs,"6,100 ± 28 K",+0.29 ± 0.07 dex,2.7 Gyr,data,+0.207,+0.585,,-1.6 km/s,11.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscida,ο Ursae Majoris A,https://en.wikipedia.org/wiki/Muscida,Ursa Major,08h 30m 15.87064s,+60° 43′ 05.4115″,+3.35,G5III:,,,,,RA: -133.644 mas/yr Dec.: -107.664 mas/yr,17.9335 ± 0.1456 mas,182 ± 1 ly (55.8 ± 0.5 pc),–0.40,3.09 M☉,14 R☉,138 L☉,2.64 cgs,"5,242 K",–0.09 dex,360 ± 30 Myr,data,+0.52,+0.85,,+19.8 km/s,3.83 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musica,18 Delphini,https://en.wikipedia.org/wiki/Musica_(star),Delphinus,20h 58m 25.9336s,+10° 50′ 21.4261″,5.506,G6III,,,,,RA: −50.034±0.147 mas/yr Dec.: −34.198±0.175 mas/yr,13.0922 ± 0.1062 mas,249 ± 2 ly (76.4 ± 0.6 pc),1.15,2.35±0.07 M☉,7.19±0.38 R☉,33.9+6.9−5.7 L☉,3.00±0.04 cgs,"5,071±10 K",0.10±0.02 dex,690±50 Myr,data,,0.934±0.004,,+4.35±0.15 km/s,1.60±0.45 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muspelheim,HAT-P-29,https://en.wikipedia.org/wiki/HAT-P-29,Perseus,02h 12m 31.47875s,+51° 46′ 43.5637″,11.83,G,,,,,RA: -9.972 mas/yr Dec.: 1.790 mas/yr,3.1358 ± 0.0201 mas,"1,040 ± 7 ly (319 ± 2 pc)",,1.198+0.065−0.063 M☉,1.229+0.080−0.073 R☉,1.89+0.3−0.25 L☉,4.337+0.045−0.045 cgs,6112±88 K,0.128+0.079−0.080 dex,2.2±1.0 Gyr,data,,,,−21.91±0.69 km/s,,,,"3.290±0.002""(1041 AU)",,,,,,HAT-P-29 B,HAT-P-29,,,,main-sequence star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahn,ξ Cancri A,https://en.wikipedia.org/wiki/Nahn,Cancer,09h 09m 21.53325s,+22° 02′ 43.6053″,+5.15 (5.70 + 6.20),G9 III Fe-1 CH-0.5,,,,,RA: −1.00 mas/yr Dec.: −0.52 mas/yr,8.74 ± 0.49 mas,370 ± 20 ly (114 ± 6 pc),−0.12,,,118 L☉,,"5,101 K",,,data,+0.75,+0.96,,+7.7±0.3 km/s,,,"1,700.76 d",0.0105±0.0017″,0.06,,,"2,428,876.86 ± 10.0 JD",301.1°,,,4.4 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naledi,WASP-62,https://en.wikipedia.org/wiki/WASP-62,Dorado,05h 48m 33.5938s,−63° 59′ 18.3868″,10.21,F,9.93,,,,RA: -15.641 mas/yr Dec.: 26.046 mas/yr,5.6649 ± 0.0189 mas,576 ± 2 ly (176.5 ± 0.6 pc),,1.250±0.05 M☉,1.280±0.05 R☉,,4.45±0.1 cgs,6230±80 K,0.04±0.06 dex,0.8±0.6 Gyr,484 data,,,,15.47 km/s,8.7±0.4 km/s,,,,,,,,,,,,,,main-sequence star,,,,,,,,,,,,,,,,10.73,,10.0721,,,,,,,,,,,,,,,,,,,,
Naos,ζ Puppis,https://en.wikipedia.org/wiki/Naos_(star),Puppis,08h 03m 35.1s,−40° 00′ 11.6″,2.24 - 2.26,O4If(n)p,,,,,RA: −27.91 mas/yr Dec.: 16.68 mas/yr,3.01 ± 0.10 mas,"1,080 ± 40 ly (330 ± 10 pc)",−6.23,56.1 M☉,14-26 R☉,,3.5-3.9 cgs,"40,000 K",0.34 dex,3.2 Myr,data,−1.09,−0.27,rotating?,,>220 km/s,,,,,,,,,,,,,,,"813,000 L☉",,,,,,,1.78 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashira,γ Capricorni A,https://en.wikipedia.org/wiki/Nashira,Capricornus,21h 40m 05.45648s,−16° 39′ 44.307184″,+3.67,kF0hF1VmF2,,,,,RA: +187.56 mas/yr Dec.: −22.45 mas/yr,20.77 ± 0.72 mas,157 ± 5 ly (48 ± 2 pc),+2.60,2.44 M☉,2.35 R☉,,3.69 cgs,"7,520 K",+0.5 dex,,data,+0.22,+0.32,α2 CVn,−31.2±0.5 km/s,40 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Násti,HD 68988,https://en.wikipedia.org/wiki/HD_68988,Ursa Major,08h 18m 22.1727s,+61° 27′ 38.5973″,8.20,G0V or G2V or G2IV,,,,,RA: 128.329±0.073 mas/yr Dec.: 30.270±0.059 mas/yr,16.4066 ± 0.0513 mas,198.8 ± 0.6 ly (61.0 ± 0.2 pc),4.52,1.16±0.01 M☉,1.08±0.01 R☉,1.297±0.002 L☉,4.42±0.01 cgs,5919±11 K,0.29±0.01 dex,1.0±0.4 Gyr,data,,0.652±0.015,,−69.45±0.11 km/s,6.4 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natasha,HD 85390,https://en.wikipedia.org/wiki/HD_85390,Vela,09h 50m 02.4969s,–49° 47′ 24.9576″,8.54,K1.5V,,7.012±0.024,6.612±0.033,6.491±0.023,RA: 29.8018±0.0379 mas/yr Dec.: −60.245±0.058 mas/yr,29.8018 ± 0.0379 mas,109.4 ± 0.1 ly (33.56 ± 0.04 pc),5.99,0.81±0.02 M☉0.813+0.043−0.038 M☉,0.78±0.01 R☉0.816+0.010−0.011 R☉,0.39±0.01 L☉,4.56±0.02 cgs,"5,170±17 K5,182±20 K",–0.04 dex,6.8±2.9 Gyr8.893+4.400−4.017 Gyr,data,,0.855±0.003,,33.03±0.20 km/s,1.97±0.36 km/s,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,9.395,,,,,,,,,,,,,,,,,,,,,,
